pl_name,default_flag,pl_masse,ra,dec,glon,glat,st_teff,sy_dist,sy_disterr1,sy_disterr2
HD 141004 b,1,,236.6099205,7.3527684,15.69566,44.10377,5885.38,11.8148,0.0361,-0.0359
Kepler-1869 c,1,,292.6149958,42.7643438,75.34626,11.47224,5808.0,113.025,0.291,-0.291
Kepler-763 d,1,,292.1445534,47.1573604,79.246,13.69152,4999.0,962.459,30.184,-28.432
Kepler-763 c,1,,292.1445534,47.1573604,79.246,13.69152,4999.0,962.459,30.184,-28.432
Kepler-290 d,1,,286.4100307,42.6815137,73.31632,15.58121,5142.0,694.627,14.518,-13.946
Kepler-297 d,1,,283.2091605,48.7776156,78.46058,19.83985,5618.0,692.14,8.083,-7.901
K2-403 b,1,,164.1893864,9.6739464,240.30179,57.82145,5511.0,246.599,2.561,-2.509
Kepler-1987 e,1,,295.8254663,42.9433716,76.6116,9.4666,4769.0,595.683,10.608,-10.249
Kepler-1987 c,1,,295.8254663,42.9433716,76.6116,9.4666,4769.0,595.683,10.608,-10.249
Kepler-1987 b,1,,295.8254663,42.9433716,76.6116,9.4666,4769.0,595.683,10.608,-10.249
TYC 2187-512-1 b,1,,320.5266829,22.9319351,72.54584,-18.8565,3734.0,15.4744,0.01165,-0.01165
K2-401 b,1,,154.987604,3.9548275,238.85649,47.08124,4213.0,200.727,1.54,-1.517
Kepler-1786 b,1,,292.5877743,38.5219827,71.48667,9.57483,5808.0,863.909,13.303,-13.303
Kepler-1709 b,1,,283.3748873,43.7883708,73.53701,18.04476,5918.0,273.946,1.894,-1.867
K2-284 b,1,,79.1407971,20.2549034,183.72406,-10.25307,4140.0,107.272,0.502,-0.497
Kepler-94 b,1,10.84,281.1947316,47.4972606,76.71253,20.71013,4781.0,191.904,0.821,-0.814
Kepler-1801 b,1,,295.1640095,39.2014024,73.04331,8.11892,5738.0,839.332,15.956,-15.38
Kepler-1814 b,1,,285.2166767,41.2824449,71.62046,15.86299,4922.0,726.346,15.267,-14.661
Kepler-1869 b,1,,292.6149958,42.7643438,75.34626,11.47224,5808.0,113.025,0.291,-0.291
Kepler-1921 b,1,,300.3161723,45.4953271,80.46622,7.9355,6120.0,928.989,15.253,-14.777
Kepler-1894 b,1,,295.5864604,49.6668523,82.59443,12.74966,5772.0,935.191,24.745,-23.523
Kepler-1992 b,1,,295.0902409,45.0811045,78.276,10.93841,5383.0,532.955,4.041,-4.041
Kepler-1983 b,1,,297.042015,39.9121864,74.37983,7.19857,5135.0,424.428,3.495,-3.439
Kepler-1977 b,1,,290.6178587,37.2891002,69.65882,10.40856,4805.0,592.711,12.3435,-12.3435
Kepler-1988 b,1,,298.6738034,43.7955099,78.38825,8.07743,6033.0,513.426,,
Kepler-1994 b,1,,297.1487941,46.2969247,80.05739,10.24589,5495.0,241.991,1.465,-1.448
HATS-38 b,1,23.51942,154.2710615,-25.2762982,264.16473,25.74431,5732.0,343.525,5.122,-4.976
HD 63433 b,1,,117.4793699,27.3631342,193.28189,24.14746,5640.0,22.4035,0.0225,-0.0225
Kepler-1716 b,1,,297.2717207,43.3330644,77.47324,8.73059,4894.0,195.439,0.978,-0.968
K2-398 c,1,,161.7349738,1.9367044,247.80615,50.97268,5946.0,606.992,13.07,-12.539
Kepler-1991 c,1,,285.0360506,45.0709909,75.23947,17.39498,5478.0,855.82,14.365,-13.906
Kepler-1991 b,1,,285.0360506,45.0709909,75.23947,17.39498,5478.0,855.82,14.365,-13.906
